playid,down,time,home,team,players,touchdown,yards_togo,total_yds,turnovers,rushing_yds,passing_yds,kicking_xpa,kicking_xpmade,kicking_fga,kicking_fgm
2559,3,Q3 07:48,False,CIN,"[J.Ramsey, A.Dalton, J.Mixon]",False,1,3,0,0,3,0,0,0,0
2588,1,Q3 07:17,False,CIN,"[C.Uzomah, A.Dalton, S.Ebukam]",False,10,0,0,0,0,0,0,0,0
2610,2,Q3 07:14,False,CIN,"[N.Robey, A.Dalton]",False,10,4,0,4,0,0,0,0,0
2642,1,Q3 06:49,False,CIN,"[A.Donald, J.Mixon]",False,10,-2,0,-2,0,0,0,0,0
2663,2,Q3 06:06,False,CIN,"[J.Ramsey, A.Tate, A.Dalton]",False,12,5,0,0,5,0,0,0,0
2687,0,,False,,[],False,0,0,0,0,0,0,0,0,0
2704,3,Q3 05:21,False,CIN,"[A.Dalton, A.Donald]",False,7,-4,0,0,-4,0,0,0,0
2728,4,Q3 04:38,False,CIN,"[K.Huber, J.Natson]",False,11,0,0,0,0,0,0,0,0
2751,1,Q3 04:31,True,LA,"[J.Bates III, D.Henderson]",False,10,15,0,15,0,0,0,0,0
2772,1,Q3 03:54,True,LA,"[D.Henderson, G.Pratt]",False,10,3,0,3,0,0,0,0,0
2793,2,Q3 03:13,True,LA,[R.Havenstein],False,7,0,0,0,0,0,0,0,0
